NU_ANO_CENSO|CO_IES|NO_IES|SG_IES|CO_MANTENEDORA|NO_MANTENEDORA|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_REGIAO|CO_UF|CO_MUNICIPIO|IN_CAPITAL|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_ASSINA_OUTRA_BASE|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|TP_REFERENTE|VL_RECEITA_PROPRIA|VL_RECEITA_TRANSFERENCIA|VL_RECEITA_OUTRA|VL_DESPESA_PESSOAL_DOCENTE|VL_DESPESA_PESSOAL_TECNICO|VL_DESPESA_PESSOAL_ENCARGO|VL_DESPESA_CUSTEIO|VL_DESPESA_INVESTIMENTO|VL_DESPESA_PESQUISA|VL_DESPESA_OUTRA
2018|2616|FACULDADE SANTO ANTÔNIO DE PÁDUA|FASAP|1698|SOCIEDADE EDUCACIONAL DESEMBARGADOR PLINIO PINTO COELHO LTDA|4|3|3|33|3304706|0|22|1|0|0|0|5|4|7|1|2|2|0|0|0|0|0||1|1|1|1|0|1|450|16800|1|8878474.69|0.00|57953.87|2255355.12|509351.47|1094875.38|0.00|269740.18|0.00|3866407.07
2018|2617|FACULDADE SÃO BENTO DO RIO DE JANEIRO|FSB/RJ|1699|MOSTEIRO DE SAO BENTO DO RIO DE JANEIRO|5|3|3|33|3304557|1|8|0|0|0|0|0|3|3|1|1|0|0|0|0|0|1||0|0|1|1|1|1|0|0|2|1439281.18|0.00|0.00|710787.08|170344.14|465016.75|0.00|0.00|0.00|6757.65
2018|2620|FACULDADE DE AMPÉRE|FAMPER|1702|CAES - CENTRO AMPERENSE DE ENSINO SUPERIOR LTDA - EPP|4|3|4|41|4101002|0|15|0|0|2|0|3|1|3|0|3|3|0|0|0|0|1||0|0|0|1|1|0|100|200|1|1884812.04|0.00|54.50|525473.43|197780.29|251635.31|467822.96|195345.17|38825.73|6118.53
2018|2629|FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DO VALE DO JURUENA|AJES|1707|ASSOCIACAO JUINENSE DE ENSINO SUPERIOR DO VALE DO JURUENA-AJES|5|3|5|51|5105150|0|23|2|0|1|1|5|5|6|3|0|0|0|0|0|0|0||1|1|1|1|0|1|10|7000|1|6214496.19|0.00|0.00|2489342.19|622335.54|1246445.57|255726.82|192638.34|0.00|1352246.64
2018|2636|FACULDADE DINÂMICA DO VALE DO PIRANGA|FADIP|1711|SESP SOCIEDADE EDUCACIONAL SUPERIOR DE PONTE NOVA LTDA|4|3|3|31|3152105|0|54|2|1|4|1|15|5|12|8|3|3|0|0|0|0|0||1|1|1|1|1|1|190|10|2|22107207.19|0.00|903867.79|3949964.44|1533349.20|1778408.60|1526519.56|2528793.82|80000.00|1376177.93
2018|2642|FACULDADE SÃO VICENTE|FASVIPA|1715|SOC EDUCACIONAL E ASSISTENCIAL DA PAR DE PAO DE ACUCAR|5|3|2|27|2706406|0|31|4|1|4|4|4|3|5|4|1|1|0|0|0|0|0||0|0|0|0|0|0|0|0|2|110256|837525.28|9000.18|79342.05|41000.00|5300.21|571.22|0.00|0.00|0.00
2018|2647|FACULDADE INTEGRADA DE SANTA MARIA|FISMA|1721|FISMA - FACULDADE INTEGRADA DE SANTA MARIA LTDA.|4|3|4|43|4316907|0|53|0|1|2|1|14|6|16|1|4|3|2|1|2|0|0||1|0|0|1|0|0|0|8700|2|13705977.52|0.00|245374.95|3941817.60|1756915.92|2179282.85|312467.24|463406.79|0.00|3788890.95
2018|2653|FACULDADE PIEMONTE|FAP|1723|FUNDACAO CULTURAL E EDUCACIONAL GERONIMO MOREIRA MOTA|5|3|2|29|2930600|0|25|0|0|0|0|3|2|12|8|0|0|0|0|0|0|0||0|0|1|1|1|1|40|300|1|47000|0.00|0.00|27000.00|11000.00|2700.00|0.00|0.00|0.00|0.00
2018|2652|FACULDADE UNIDA DE VITÓRIA|FACULDADE UNIDA|1724|CEE-CENTRO DE ESTUDOS ESPECIALIZADOS|4|3|3|32|3205309|1|16|0|0|0|0|5|2|2|1|4|1|0|1|0|0|1||0|1|0|1|0|1|5|250|1|5990793.09|0.00|0.00|1396774.41|1024321.67|0.00|1614072.81|0.00|0.00|1350045.98
2018|2677|INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU|ISESJT|1740|SESJT - SOCIEDADE DE ENSINO SUPERIOR SAO JUDAS TADEU S/S LTDA - ME|4|3|2|22|2203909|0|8|1|0|1|0|1|0|1|1|2|1|0|0|0|0|0||0|1|1|1|0|0|15|0|2|960000|0.00|0.00|239642.46|572537.58|134372.23|86068.97|0.00|0.00|1763.26
2018|2687|FACULDADE DOM ALBERTO|FDA|1742|CENTRO DE ENSINO SUPERIOR DOM ALBERTO LTDA|4|3|4|43|4316808|0|54|0|0|0|0|25|7|9|1|6|1|3|1|0|1|0||1|1|1|1|0|1|375|7608|2|14280088.57|4779508.68|24995.71|1406701.09|4016856.00|3590138.65|3035832.05|0.00|1484066.76|379270.60
2018|12848|FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BARBACENA||1756|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC MINAS|5|3|3|31|3105608|0|13|0|0|0|0|0|3|1|1|4|0|1|2|1|0|0||1|0|1|1|0|1|562|0|2|6123097.94|0.00|49899.00|2003953.04|1300677.03|1131432.33|712401.09|0.00|0.00|1673649.66
2018|12772|FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BELO HORIZONTE|FTS|1756|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC MINAS|5|3|3|31|3106200|1|160|0|0|2|4|26|19|36|14|27|13|7|10|1|1|0||1|0|1|1|0|1|562|0|2|15380547.79|0.00|164192.00|3204357.52|2928460.62|1972869.23|1526694.82|0.00|46047.15|4341194.55
2018|2703|FACULDADE SENAC MINAS|FSM|1756|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC MINAS|5|3|3|31|3118601|0|32|0|0|0|0|6|1|12|3|4|0|2|4|0|0|0||1|0|1|1|0|1|562|0|2|10711379.23|0.00|1763874.85|3683525.66|2369394.75|1954069.04|835877.33|0.00|70385.66|3469020.53
2018|5387|FACULDADE IMPACTA DE TECNOLOGIA|FIT|1765|UNIAO EDUCACIONAL, CULTURAL E TECNOLOGICA IMPACTA - UNI.IMPACTA|5|3|3|35|3550308|1|56|0|0|0|2|12|16|7|13|1|5|0|0|0|0|0||0|1|1|1|0|1|0|7835|2|22523214.86|0.00|20857.83|8526703.35|1939137.82|714526.03|5873039.50|2034698.36|727043.14|630759.89
2018|2724|INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO|IESMA|1768|UNISULMA- UNIDADE DE ENSINO SUPERIOR DO SUL DO MARANHAO LTDA - ME|4|3|2|21|2105302|0|85|0|1|0|0|23|11|13|7|18|5|4|2|0|1|1||0|0|1|1|1|1|132|0|1|18247036.33|0.00|2717493.33|5633895.92|2298727.50|5667661.80|2860113.17|564828.13|89637.58|35447.18
2018|1605|FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA|FANOVA|1782|ASSOCIACAO EDUCACIONAL DO CONE SUL|5|3|5|50|5006200|0|22|3|0|0|1|7|2|6|1|0|1|0|1|0|0|1||1|0|1|1|1|1|22203|9145|1|12191247.5|0.00|82909.87|1970486.83|797233.45|225001.87|29370.77|0.00|0.00|1065727.96
2018|1247|FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN|FACINAN|1782|ASSOCIACAO EDUCACIONAL DO CONE SUL|5|3|5|50|5006200|0|22|3|0|0|1|7|2|6|1|0|1|0|1|0|0|1||1|0|1|1|1|1|22203|9145|1|12191247.5|0.00|82909.87|1970486.83|797233.45|225001.87|29370.77|0.00|0.00|1065727.96
2018|2054|FACULDADE DE EDUCAÇÃO DE NOVA ANDRADINA|FENA|1782|ASSOCIACAO EDUCACIONAL DO CONE SUL|5|3|5|50|5006200|0|22|3|0|0|1|7|2|6|1|0|1|0|1|0|0|1||1|0|1|1|1|1|22203|9145|1|12191247.5|0.00|82909.87|1970486.83|797233.45|225001.87|29370.77|0.00|0.00|1065727.96
